gemeente,VVD,PVDA,PVV,SP,CDA,D66,CU,GL,SGP,Partij voor de Dieren,50PLUS,Piratenpartij,Partij voor Mens en Spirit (MenS),SOPN,Partij van de Toekomst (PvdT),Democratisch Politiek Keerpunt DPK,Libertarische Partij (LP),Nederland Lokaal,Liberaal Democratische Partij (LibDem),Anti Europa Partij,Politieke Partij NXD,Partij
Oisterwijk,5496,2965,1121,1681,1601,1333,89,271,11,235,305,29,26,19,10,7,6,1,2,4,0,VVD
Oldambt,3492,9073,2368,3494,1325,856,811,271,74,405,290,54,18,38,29,13,7,10,4,8,0,PVDA
Oldebroek,2136,2050,1152,680,1779,339,2757,81,1972,100,148,15,7,11,7,7,4,4,2,2,0,CU
Oldenzaal,5104,4678,1649,2226,2646,1446,86,288,23,220,368,49,34,41,29,8,4,4,2,3,0,VVD
Olst-Wijhe,2739,3089,659,964,1466,730,181,242,46,156,175,20,21,18,9,4,2,3,1,0,0,PVDA
Ommen,2830,1998,634,717,2306,643,1281,136,169,130,114,23,23,8,15,6,1,10,1,1,0,VVD
Onderbanken,913,1041,1072,777,416,208,20,72,5,93,74,17,9,6,1,2,0,2,0,1,0,PVV
Oost Gelre,5093,3899,1151,1758,3293,1290,91,176,26,173,314,39,24,41,17,12,4,4,2,1,0,VVD
Oosterhout,9147,6910,3895,3292,2098,2367,206,489,34,438,683,75,59,62,22,37,8,1,2,5,0,VVD
Oostflakkee,1543,1309,846,437,491,219,383,73,531,110,131,12,5,23,8,4,2,0,0,3,0,VVD
Ooststellingwerf,3164,5248,1301,1595,1769,726,591,267,116,314,198,44,46,32,16,15,5,27,2,6,0,PVDA
Oostzaan,1927,1308,735,397,206,378,81,143,14,122,126,22,17,8,4,5,2,2,2,2,0,VVD
Opmeer,2434,1251,557,466,891,455,39,95,14,93,213,21,15,12,8,9,1,4,1,0,0,VVD
Opsterland,3423,6204,1064,1725,2046,918,1306,390,227,232,149,36,40,32,26,14,4,8,2,2,0,PVDA
Oss,12010,9921,5436,9417,3942,3229,199,693,48,633,1015,135,85,39,41,27,10,10,14,5,0,VVD
Oud-Beijerland,4161,2705,1470,993,1034,920,699,209,1289,237,242,30,25,19,8,9,5,1,5,4,0,VVD
Oude IJsselstreek,5698,6331,2092,2956,3172,1345,270,324,42,306,424,44,32,29,11,10,10,5,1,8,0,PVDA
Ouder-Amstel,2893,1837,532,415,542,997,99,218,85,206,228,28,13,5,9,4,4,1,6,2,0,VVD
Ouderkerk,1399,853,462,217,396,206,490,47,821,86,57,11,1,3,2,5,2,2,0,0,0,VVD
Oudewater,2388,812,510,247,864,377,292,73,248,80,99,17,6,13,4,5,3,2,1,3,0,VVD
