gemeente,CDA,CU,D66,Evangelische Partij Nederland,GL,Heel NL,Lijst 17,Nieuw Nederland,PVV,Partij TTn,PVDA,Partij voor Mens en Spirit (MenS),Partij voor de Dieren,Piratenpartij,SP,SGP,TROTS OP NEDERLAND LIJST RITA VERDONK,VVD,Partij
Tynaarlo,2040.0,710.0,1673.0,,1669.0,,8.0,1.0,1926.0,4.0,5466.0,46.0,244.0,13.0,1666.0,42.0,81.0,4828.0,PVDA
Tytsjerksteradiel,4427.0,1192.0,770.0,9.0,1153.0,,8.0,,2051.0,1.0,4431.0,72.0,165.0,12.0,2076.0,126.0,69.0,2546.0,PVDA
Ubbergen,1067.0,40.0,430.0,,634.0,3.0,10.0,1.0,644.0,2.0,1257.0,22.0,102.0,8.0,703.0,3.0,16.0,930.0,PVDA
Uden,4005.0,98.0,1423.0,,1023.0,3.0,20.0,1.0,3564.0,6.0,3216.0,78.0,252.0,17.0,3829.0,9.0,144.0,5529.0,VVD
Uitgeest,903.0,59.0,663.0,1.0,554.0,,7.0,2.0,1014.0,,1407.0,29.0,113.0,12.0,749.0,5.0,58.0,2114.0,VVD
Uithoorn,1937.0,234.0,1170.0,,955.0,,16.0,4.0,2532.0,5.0,2776.0,46.0,211.0,22.0,1168.0,22.0,98.0,5178.0,VVD
Urk,2412.0,1757.0,31.0,29.0,21.0,,2.0,3.0,1013.0,,57.0,2.0,8.0,8.0,72.0,3635.0,17.0,229.0,SGP
Utrecht,11517.0,3879.0,25190.0,,27237.0,21.0,174.0,34.0,17035.0,35.0,42952.0,392.0,2396.0,265.0,12079.0,451.0,596.0,32746.0,PVDA
Utrechtse Heuvelrug,4252.0,1126.0,2549.0,,2439.0,2.0,11.0,10.0,3396.0,1.0,4757.0,149.0,456.0,34.0,1759.0,1127.0,127.0,8202.0,VVD
Vaals,682.0,40.0,179.0,,247.0,1.0,3.0,1.0,1280.0,,826.0,20.0,66.0,12.0,520.0,5.0,18.0,536.0,PVV
Valkenburg aan de Geul,2075.0,75.0,603.0,,540.0,1.0,2.0,15.0,2752.0,2.0,1513.0,50.0,168.0,6.0,1044.0,6.0,81.0,1929.0,PVV
Valkenswaard,3250.0,112.0,1003.0,,798.0,3.0,13.0,1.0,3415.0,6.0,2737.0,37.0,156.0,9.0,2591.0,9.0,171.0,3561.0,VVD
Veendam,1300.0,526.0,706.0,6.0,839.0,,8.0,6.0,2418.0,4.0,5096.0,29.0,252.0,8.0,2074.0,38.0,96.0,2325.0,PVDA
Veenendaal,5884.0,4727.0,1495.0,,1241.0,4.0,12.0,6.0,5598.0,10.0,4745.0,60.0,222.0,21.0,1981.0,3299.0,127.0,6772.0,VVD
Veere,3259.0,828.0,686.0,,701.0,,10.0,3.0,1410.0,2.0,2180.0,38.0,240.0,8.0,973.0,1835.0,84.0,2898.0,CDA
Veghel,4563.0,110.0,1193.0,,957.0,2.0,17.0,3.0,3313.0,3.0,2908.0,38.0,213.0,8.0,2878.0,6.0,127.0,4650.0,VVD
Veldhoven,4110.0,259.0,1584.0,,1313.0,11.0,15.0,1.0,4593.0,11.0,3808.0,99.0,241.0,32.0,3481.0,17.0,185.0,5505.0,VVD
Velsen,3770.0,838.0,2740.0,,2533.0,,26.0,7.0,7474.0,10.0,7872.0,98.0,639.0,52.0,3698.0,68.0,299.0,8534.0,VVD
Venlo,7604.0,298.0,2453.0,,2650.0,14.0,33.0,14.0,16121.0,11.0,7971.0,125.0,553.0,54.0,6055.0,33.0,228.0,9055.0,PVV
Venray,4992.0,119.0,1150.0,,1056.0,6.0,24.0,2.0,4398.0,3.0,3459.0,60.0,186.0,18.0,3703.0,13.0,152.0,4221.0,CDA
Vianen,1595.0,375.0,654.0,,566.0,2.0,11.0,3.0,2044.0,6.0,1998.0,30.0,148.0,17.0,1085.0,300.0,73.0,2664.0,VVD
Vlaardingen,3691.0,1091.0,2131.0,,2498.0,4.0,23.0,5.0,8073.0,14.0,7714.0,76.0,560.0,33.0,4399.0,603.0,295.0,7181.0,PVV
Vlagtwedde,1436.0,279.0,280.0,5.0,492.0,,3.0,8.0,1841.0,4.0,2269.0,42.0,129.0,12.0,1030.0,24.0,67.0,1311.0,PVDA
Vlieland,74.0,17.0,93.0,,94.0,,,,76.0,,230.0,1.0,13.0,,83.0,3.0,13.0,296.0,VVD
